root@iZwz926s6w2txboh71489qZ:~/bin# QOS=0   # 0/1/2
SIZE=256
N=4000  # N 对（按需调整）

# sub：每个连接订阅一个唯一 topic：bench/nn/1 .. bench/nn/N
1m45s recv total=1011503 rate=109689.00/sec
1m46s recv total=1126932 rate=115429.00/sec
1m47s recv total=1248016 rate=121084.00/sec
1m48s recv total=1376044 rate=128028.00/sec
1m49s recv total=1510928 rate=134884.00/sec
1m50s recv total=1651507 rate=140579.00/sec
1m51s recv total=1798032 rate=146525.00/sec
1m52s recv total=1950003 rate=151971.00/sec
1m53s recv total=2110224 rate=160221.00/sec
1m54s recv total=2275891 rate=165667.00/sec
1m55s recv total=2447853 rate=171962.00/sec
1m56s recv total=2624947 rate=177094.00/sec
1m57s recv total=2809253 rate=184306.00/sec
1m58s recv total=3000115 rate=190862.00/sec
1m59s recv total=3197214 rate=197099.00/sec
2m0s recv total=3399731 rate=202517.00/sec
2m1s recv total=3608212 rate=208481.00/sec
2m2s recv total=3824179 rate=215967.00/sec
2m3s recv total=4046338 rate=222159.00/sec
2m4s recv total=4274238 rate=227900.00/sec
2m5s recv total=4507891 rate=233653.00/sec
2m6s recv total=4747952 rate=240061.00/sec
2m7s recv total=4995359 rate=247407.00/sec
2m8s recv total=5243397 rate=248038.00/sec
2m9s recv total=5491438 rate=248041.00/sec
2m10s recv total=5739540 rate=248102.00/sec
2m11s recv total=5987709 rate=248169.00/sec
2m12s recv total=6236010 rate=248301.00/sec
2m13s recv total=6484319 rate=248309.00/sec
2m14s recv total=6732519 rate=248200.00/sec
2m15s recv total=6981029 rate=248510.00/sec
2m16s recv total=7229356 rate=248327.00/sec
2m17s recv total=7477910 rate=248554.00/sec
2m18s recv total=7726425 rate=248515.00/sec
2m19s recv total=7975041 rate=248616.00/sec
2m20s recv total=8223538 rate=248497.00/sec
2m21s recv total=8472088 rate=248550.00/sec
2m22s recv total=8720985 rate=248897.00/sec
2m23s recv total=8969795 rate=248810.00/sec
2m24s recv total=9218478 rate=248683.00/sec
2m25s recv total=9467459 rate=248981.00/sec
2m26s recv total=9716112 rate=248653.00/sec
2m27s recv total=9965382 rate=249270.00/sec
2m28s recv total=10214365 rate=248983.00/sec
2m29s recv total=10463493 rate=249128.00/sec
2m30s recv total=10712592 rate=249099.00/sec
2m31s recv total=10961738 rate=249146.00/sec
2m32s recv total=11210852 rate=249114.00/sec
2m33s recv total=11460169 rate=249317.00/sec
2m34s recv total=11709328 rate=249159.00/sec
2m35s recv total=11958916 rate=249588.00/sec
2m36s recv total=12208251 rate=249335.00/sec
2m37s recv total=12457698 rate=249447.00/sec
2m38s recv total=12707221 rate=249523.00/sec
2m39s recv total=12956777 rate=249556.00/sec
2m40s recv total=13206400 rate=249623.00/sec
2m41s recv total=13456051 rate=249651.00/sec
2m42s recv total=13705663 rate=249612.00/sec
2m43s recv total=13955461 rate=249798.00/sec
2m44s recv total=14205288 rate=249827.00/sec
2m45s recv total=14455081 rate=249793.00/sec
2m46s recv total=14705088 rate=250007.00/sec
2m47s recv total=14954952 rate=249864.00/sec
2m48s recv total=15204992 rate=250040.00/sec
2m49s recv total=15454923 rate=249931.00/sec
2m50s recv total=15705027 rate=250104.00/sec
2m51s recv total=15954952 rate=249925.00/sec
2m52s recv total=16205030 rate=250078.00/sec
2m53s recv total=16454959 rate=249929.00/sec
2m54s recv total=16704965 rate=250006.00/sec
2m55s recv total=16954919 rate=249954.00/sec
2m56s recv total=17204836 rate=249917.00/sec
2m57s recv total=17454927 rate=250091.00/sec
2m58s recv total=17705007 rate=250080.00/sec
2m59s recv total=17954947 rate=249940.00/sec
3m0s recv total=18204973 rate=250026.00/sec
3m1s recv total=18454964 rate=249991.00/sec
3m2s recv total=18704898 rate=249934.00/sec
3m3s recv total=18954932 rate=250034.00/sec
3m4s recv total=19204868 rate=249936.00/sec
3m5s recv total=19454934 rate=250066.00/sec
3m6s recv total=19705025 rate=250091.00/sec
3m7s recv total=19954956 rate=249931.00/sec
3m8s recv total=20204812 rate=249856.00/sec
3m9s recv total=20454961 rate=250149.00/sec
3m10s recv total=20704819 rate=249858.00/sec
3m11s recv total=20954972 rate=250153.00/sec
3m12s recv total=21204839 rate=249867.00/sec
3m13s recv total=21454917 rate=250078.00/sec
3m14s recv total=21704862 rate=249945.00/sec
3m15s recv total=21954942 rate=250080.00/sec
3m16s recv total=22204858 rate=249916.00/sec
3m17s recv total=22454973 rate=250115.00/sec
3m18s recv total=22704990 rate=250017.00/sec
3m19s recv total=22954956 rate=249966.00/sec
3m20s recv total=23205012 rate=250056.00/sec
3m21s recv total=23454929 rate=249917.00/sec
3m22s recv total=23704892 rate=249963.00/sec
3m23s recv total=23954947 rate=250055.00/sec
3m24s recv total=24205003 rate=250056.00/sec
3m25s recv total=24454938 rate=249935.00/sec
3m26s recv total=24704993 rate=250055.00/sec
3m27s recv total=24954935 rate=249942.00/sec
3m28s recv total=25204927 rate=249992.00/sec
3m29s recv total=25454941 rate=250014.00/sec
3m30s recv total=25704886 rate=249945.00/sec
3m31s recv total=25954924 rate=250038.00/sec
3m32s recv total=26204827 rate=249903.00/sec
3m33s recv total=26454960 rate=250133.00/sec
3m34s recv total=26704936 rate=249976.00/sec
3m35s recv total=26954964 rate=250028.00/sec
3m36s recv total=27204848 rate=249884.00/sec
3m37s recv total=27454944 rate=250096.00/sec
3m38s recv total=27704891 rate=249947.00/sec
3m39s recv total=27954965 rate=250074.00/sec
3m40s recv total=28204913 rate=249948.00/sec
3m41s recv total=28454960 rate=250047.00/sec
3m42s recv total=28704834 rate=249874.00/sec
3m43s recv total=28954969 rate=250135.00/sec
3m44s recv total=29204970 rate=250001.00/sec
3m45s recv total=29454932 rate=249962.00/sec
3m46s recv total=29704880 rate=249948.00/sec
3m47s recv total=29954941 rate=250061.00/sec
3m48s recv total=30204836 rate=249895.00/sec
3m49s recv total=30454920 rate=250084.00/sec
3m50s recv total=30704823 rate=249903.00/sec
3m51s recv total=30954926 rate=250103.00/sec
3m52s recv total=31204935 rate=250009.00/sec
3m53s recv total=31454934 rate=249999.00/sec
3m54s recv total=31704817 rate=249883.00/sec
3m55s recv total=31954908 rate=250091.00/sec
3m56s recv total=32204887 rate=249979.00/sec
3m57s recv total=32454972 rate=250085.00/sec
3m58s recv total=32705019 rate=250047.00/sec
3m59s recv total=32954938 rate=249919.00/sec
4m0s recv total=33204863 rate=249925.00/sec
4m1s recv total=33454907 rate=250044.00/sec
4m2s recv total=33704859 rate=249952.00/sec
4m3s recv total=33954938 rate=250079.00/sec
4m4s recv total=34204968 rate=250030.00/sec
4m5s recv total=34454932 rate=249964.00/sec
4m6s recv total=34704914 rate=249982.00/sec
4m7s recv total=34954890 rate=249976.00/sec
4m8s recv total=35204903 rate=250013.00/sec
4m9s recv total=35454955 rate=250052.00/sec
4m10s recv total=35704969 rate=250014.00/sec
4m11s recv total=35954870 rate=249901.00/sec
4m12s recv total=36204952 rate=250082.00/sec
4m13s recv total=36454905 rate=249953.00/sec
4m14s recv total=36704932 rate=250027.00/sec
4m15s recv total=36954914 rate=249982.00/sec
4m16s recv total=37204935 rate=250021.00/sec
4m17s recv total=37454903 rate=249968.00/sec
4m18s recv total=37704822 rate=249919.00/sec
4m19s recv total=37954894 rate=250072.00/sec
4m20s recv total=38205024 rate=250130.00/sec
4m21s recv total=38454940 rate=249916.00/sec
4m22s recv total=38704906 rate=249966.00/sec
4m23s recv total=38954813 rate=249907.00/sec
4m24s recv total=39204869 rate=250056.00/sec
4m25s recv total=39454925 rate=250056.00/sec
4m26s recv total=39704914 rate=249989.00/sec
4m27s recv total=39954936 rate=250022.00/sec
4m28s recv total=40204903 rate=249967.00/sec
4m29s recv total=40454952 rate=250049.00/sec
4m30s recv total=40704847 rate=249895.00/sec
4m31s recv total=40954950 rate=250103.00/sec
4m32s recv total=41204902 rate=249952.00/sec
4m33s recv total=41454930 rate=250028.00/sec
4m34s recv total=41704944 rate=250014.00/sec
4m35s recv total=41954941 rate=249997.00/sec
4m36s recv total=42204959 rate=250018.00/sec
4m37s recv total=42454928 rate=249969.00/sec
4m38s recv total=42704860 rate=249932.00/sec
4m39s recv total=42954949 rate=250089.00/sec
4m40s recv total=43204860 rate=249911.00/sec
4m41s recv total=43454910 rate=250050.00/sec
4m42s recv total=43705005 rate=250095.00/sec
4m43s recv total=43954958 rate=249953.00/sec
4m44s recv total=44204896 rate=249938.00/sec
4m45s recv total=44454919 rate=250023.00/sec
4m46s recv total=44704817 rate=249898.00/sec
4m47s recv total=44954941 rate=250124.00/sec
4m48s recv total=45204958 rate=250017.00/sec
4m49s recv total=45454922 rate=249964.00/sec
4m50s recv total=45704925 rate=250003.00/sec
4m51s recv total=45954928 rate=250003.00/sec
4m52s recv total=46204908 rate=249980.00/sec
4m53s recv total=46454915 rate=250007.00/sec
4m54s recv total=46704932 rate=250017.00/sec
4m55s recv total=46954948 rate=250016.00/sec
4m56s recv total=47204882 rate=249934.00/sec
4m57s recv total=47454907 rate=250025.00/sec
4m58s recv total=47704993 rate=250086.00/sec
4m59s recv total=47954905 rate=249912.00/sec
5m0s recv total=48204965 rate=250060.00/sec
5m1s recv total=48454930 rate=249965.00/sec
5m2s recv total=48704908 rate=249978.00/sec
5m3s recv total=48954943 rate=250035.00/sec
5m4s recv total=49204916 rate=249973.00/sec
5m5s recv total=49454930 rate=250014.00/sec
5m6s recv total=49704827 rate=249897.00/sec
5m7s recv total=49954969 rate=250142.00/sec
5m8s recv total=50204966 rate=249997.00/sec
5m9s recv total=50454910 rate=249944.00/sec
5m10s recv total=50704847 rate=249937.00/sec
5m11s recv total=50954928 rate=250081.00/sec
5m12s recv total=51204953 rate=250025.00/sec
5m13s recv total=51454940 rate=249987.00/sec
5m14s recv total=51704785 rate=249845.00/sec
5m15s recv total=51954911 rate=250126.00/sec
5m16s recv total=52204915 rate=250004.00/sec
5m17s recv total=52454931 rate=250016.00/sec
5m18s recv total=52704880 rate=249949.00/sec
5m19s recv total=52954918 rate=250038.00/sec
5m20s recv total=53204823 rate=249905.00/sec
5m21s recv total=53454906 rate=250083.00/sec
5m22s recv total=53704945 rate=250039.00/sec
5m23s recv total=53954928 rate=249983.00/sec
5m24s recv total=54204882 rate=249954.00/sec
5m25s recv total=54454977 rate=250095.00/sec
5m26s recv total=54704907 rate=249930.00/sec
5m27s recv total=54954944 rate=250037.00/sec
5m28s recv total=55204898 rate=249954.00/sec
5m29s recv total=55454926 rate=250028.00/sec
5m30s recv total=55704918 rate=249992.00/sec
5m31s recv total=55954948 rate=250030.00/sec
5m32s recv total=56204849 rate=249901.00/sec
5m33s recv total=56454950 rate=250101.00/sec
5m34s recv total=56705038 rate=250088.00/sec
5m35s recv total=56954886 rate=249848.00/sec
5m36s recv total=57204910 rate=250024.00/sec
5m37s recv total=57454920 rate=250010.00/sec
5m38s recv total=57704833 rate=249913.00/sec
5m39s recv total=57954901 rate=250068.00/sec
5m40s recv total=58204834 rate=249933.00/sec
5m41s recv total=58454932 rate=250098.00/sec
5m42s recv total=58704794 rate=249862.00/sec
5m43s recv total=58954954 rate=250160.00/sec
5m44s recv total=59204983 rate=250029.00/sec
5m45s recv total=59454911 rate=249928.00/sec
5m46s recv total=59704790 rate=249879.00/sec
5m47s recv total=59954925 rate=250135.00/sec
5m48s recv total=60204858 rate=249933.00/sec
5m49s recv total=60454903 rate=250045.00/sec
5m50s recv total=60704853 rate=249950.00/sec
5m51s recv total=60954924 rate=250071.00/sec
5m52s recv total=61204981 rate=250057.00/sec
5m53s recv total=61454931 rate=249950.00/sec
5m54s recv total=61704885 rate=249954.00/sec
5m55s recv total=61954906 rate=250021.00/sec
5m56s recv total=62204932 rate=250026.00/sec
5m57s recv total=62454936 rate=250004.00/sec
5m58s recv total=62704905 rate=249969.00/sec
5m59s recv total=62954946 rate=250041.00/sec
6m0s recv total=63171608 rate=216662.00/sec
6m1s recv total=63343483 rate=171875.00/sec
6m2s recv total=63477588 rate=134105.00/sec
6m3s recv total=63611886 rate=134298.00/sec
6m4s recv total=63745963 rate=134077.00/sec
6m5s recv total=63880269 rate=134306.00/sec
6m6s recv total=64014338 rate=134069.00/sec
6m7s recv total=64148643 rate=134305.00/sec
6m8s recv total=64282713 rate=134070.00/sec
6m9s recv total=64417019 rate=134306.00/sec
6m10s recv total=64551088 rate=134069.00/sec
6m11s recv total=64685394 rate=134306.00/sec
6m12s recv total=64819463 rate=134069.00/sec
6m13s recv total=64953728 rate=134265.00/sec
6m14s recv total=65087838 rate=134110.00/sec
6m15s recv total=65222144 rate=134306.00/sec
6m16s recv total=65356213 rate=134069.00/sec
6m17s recv total=65490519 rate=134306.00/sec
6m18s recv total=65624588 rate=134069.00/sec
6m19s recv total=65758894 rate=134306.00/sec
6m20s recv total=65892963 rate=134069.00/sec
6m21s recv total=66027187 rate=134224.00/sec
6m22s recv total=66161338 rate=134151.00/sec
6m23s recv total=66295643 rate=134305.00/sec
6m24s recv total=66429713 rate=134070.00/sec
6m25s recv total=66564018 rate=134305.00/sec
6m26s recv total=66698088 rate=134070.00/sec
6m27s recv total=66832391 rate=134303.00/sec
6m28s recv total=66966463 rate=134072.00/sec
6m29s recv total=67100769 rate=134306.00/sec
6m30s recv total=67234838 rate=134069.00/sec
6m31s recv total=67369144 rate=134306.00/sec
6m32s recv total=67503213 rate=134069.00/sec
6m33s recv total=67637515 rate=134302.00/sec
6m34s recv total=67771588 rate=134073.00/sec
6m35s recv total=67905894 rate=134306.00/sec
6m36s recv total=68039963 rate=134069.00/sec
6m37s recv total=68174269 rate=134306.00/sec
6m38s recv total=68308338 rate=134069.00/sec
6m39s recv total=68442631 rate=134293.00/sec
6m40s recv total=68576713 rate=134082.00/sec
6m41s recv total=68711019 rate=134306.00/sec
6m42s recv total=68782232 rate=71213.00/sec
^C
root@iZwz926s6w2txboh71489qZ:~/bin# QOS=1   # 0/1/2
SIZE=256
N=4000  # N 对（按需调整）

# sub：每个连接订阅一个唯一 topic：bench/nn/1 .. bench/nn/N
./emqtt_bench sub -V 4 -h 172.28.130.87 -c "${N}" -t "bench/nn/%i" -q "${QOS}"
Start with 128 workers, addrs pool size: 1 and req interval: 1280 ms

1s sub total=128 rate=127.49/sec
1s connect_succ total=128 rate=127.49/sec
2s sub total=256 rate=128.00/sec
2s connect_succ total=256 rate=128.00/sec
3s sub total=384 rate=128.00/sec
3s connect_succ total=384 rate=128.00/sec
4s sub total=512 rate=128.00/sec
4s connect_succ total=512 rate=128.00/sec
6s sub total=640 rate=64.00/sec
6s connect_succ total=640 rate=64.00/sec
7s sub total=768 rate=128.00/sec
7s connect_succ total=768 rate=128.00/sec
8s sub total=896 rate=128.00/sec
8s connect_succ total=896 rate=128.00/sec
9s sub total=1024 rate=128.00/sec
9s connect_succ total=1024 rate=128.00/sec
11s sub total=1152 rate=64.00/sec
11s connect_succ total=1152 rate=64.00/sec
12s sub total=1280 rate=128.00/sec
12s connect_succ total=1280 rate=128.00/sec
13s sub total=1408 rate=128.00/sec
13s connect_succ total=1408 rate=128.00/sec
15s sub total=1536 rate=64.00/sec
15s connect_succ total=1536 rate=64.00/sec
16s sub total=1664 rate=128.00/sec
16s connect_succ total=1664 rate=128.00/sec
17s sub total=1792 rate=128.00/sec
17s connect_succ total=1792 rate=128.00/sec
18s sub total=1920 rate=128.00/sec
18s connect_succ total=1920 rate=128.00/sec
20s sub total=2048 rate=64.00/sec
20s connect_succ total=2048 rate=64.00/sec
21s sub total=2176 rate=128.00/sec
21s connect_succ total=2176 rate=128.00/sec
22s sub total=2304 rate=128.00/sec
22s connect_succ total=2304 rate=128.00/sec
24s sub total=2432 rate=64.00/sec
24s connect_succ total=2432 rate=64.00/sec
25s sub total=2560 rate=128.00/sec
25s connect_succ total=2560 rate=128.00/sec
26s sub total=2688 rate=128.00/sec
26s connect_succ total=2688 rate=128.00/sec
27s sub total=2816 rate=128.00/sec
27s connect_succ total=2816 rate=128.00/sec
29s sub total=2944 rate=64.00/sec
29s connect_succ total=2944 rate=64.00/sec
30s sub total=3072 rate=128.00/sec
30s connect_succ total=3072 rate=128.00/sec
31s sub total=3200 rate=128.00/sec
31s connect_succ total=3200 rate=128.00/sec
33s sub total=3328 rate=64.00/sec
33s connect_succ total=3328 rate=64.00/sec
34s sub total=3456 rate=128.00/sec
34s connect_succ total=3456 rate=128.00/sec
35s sub total=3584 rate=128.00/sec
35s connect_succ total=3584 rate=128.00/sec
36s sub total=3712 rate=128.00/sec
36s connect_succ total=3712 rate=128.00/sec
38s sub total=3840 rate=64.00/sec
38s connect_succ total=3840 rate=64.00/sec
39s sub total=3968 rate=128.00/sec
39s connect_succ total=3968 rate=128.00/sec
40s sub total=3969 rate=1.00/sec
40s connect_succ total=3969 rate=1.00/sec
41s sub total=3970 rate=1.00/sec
41s connect_succ total=3970 rate=1.00/sec
43s sub total=3971 rate=0.50/sec
43s connect_succ total=3971 rate=0.50/sec
44s sub total=3972 rate=1.00/sec
44s connect_succ total=3972 rate=1.00/sec
45s sub total=3973 rate=1.00/sec
45s connect_succ total=3973 rate=1.00/sec
47s sub total=3974 rate=0.50/sec
47s connect_succ total=3974 rate=0.50/sec
48s sub total=3975 rate=1.00/sec
48s connect_succ total=3975 rate=1.00/sec
49s sub total=3976 rate=1.00/sec
49s connect_succ total=3976 rate=1.00/sec
50s sub total=3977 rate=1.00/sec
50s connect_succ total=3977 rate=1.00/sec
52s sub total=3978 rate=0.50/sec
52s connect_succ total=3978 rate=0.50/sec
53s sub total=3979 rate=1.00/sec
53s connect_succ total=3979 rate=1.00/sec
54s sub total=3980 rate=1.00/sec
54s connect_succ total=3980 rate=1.00/sec
56s sub total=3981 rate=0.50/sec
56s connect_succ total=3981 rate=0.50/sec
57s sub total=3982 rate=1.00/sec
57s connect_succ total=3982 rate=1.00/sec
58s sub total=3983 rate=1.00/sec
58s connect_succ total=3983 rate=1.00/sec
59s sub total=3984 rate=1.00/sec
59s connect_succ total=3984 rate=1.00/sec
1m1s sub total=3985 rate=0.50/sec
