time_utc,iface,rx_bytes_per_s,rx_packets_per_s,tx_bytes_per_s,tx_packets_per_s,ctxt_per_s,intr_per_s,softirq_net_rx_per_s,softirq_net_tx_per_s,tcp_insegs_per_s,tcp_outsegs_per_s,tcp_retranssegs_per_s,tcp_estab,proc_rss_kb,proc_vsz_kb
2025-12-31T15:55:32Z,eth0,7880745.00,57413.00,7874552.00,57222.00,122954.00,123181.00,81501.00,0.00,57913.00,57720.00,0.00,4256,325632,1636748
2025-12-31T15:55:33Z,eth0,11811013.00,86100.00,11803670.00,85994.00,156917.00,169176.00,116171.00,0.00,86155.00,85966.00,0.00,4384,661576,1971312
2025-12-31T15:55:34Z,eth0,15618027.00,113593.00,15590622.00,113264.00,183327.00,211106.00,147065.00,0.00,113258.00,113006.00,1.00,4512,833616,2171824
2025-12-31T15:55:35Z,eth0,19410543.00,141009.00,19397862.00,140817.00,213992.00,249670.00,178202.00,0.00,142298.00,142116.00,0.00,4640,890448,2172656
2025-12-31T15:55:37Z,eth0,11992267.50,86977.00,11986440.00,87001.50,97415.50,146476.50,103188.00,1.00,86524.00,86573.50,0.00,4640,1294800,2705680
2025-12-31T15:55:38Z,eth0,28490999.00,206976.00,28498218.00,206806.00,190973.00,315304.00,232503.00,0.00,207757.00,207385.00,0.00,4768,1355472,2707408
2025-12-31T15:55:39Z,eth0,32090750.00,231972.00,31885054.00,231470.00,156449.00,340883.00,255528.00,0.00,231758.00,231028.00,5.00,4896,1984400,3308804
2025-12-31T15:55:40Z,eth0,36506828.00,265439.00,36462620.00,265160.00,118510.00,373193.00,279009.00,0.00,264996.00,264791.00,10.00,5024,2738880,4044964
2025-12-31T15:55:41Z,eth0,39070250.00,283787.00,39001675.00,284569.00,80434.00,356778.00,276356.00,0.00,291437.00,292722.00,29.00,5152,2742144,4047780
2025-12-31T15:55:42Z,eth0,41475108.00,301405.00,41460161.00,301374.00,63756.00,370318.00,282251.00,0.00,298194.00,297510.00,26.00,5280,2746176,4049892
2025-12-31T15:55:43Z,eth0,41526554.00,301701.00,41451658.00,301377.00,62756.00,364875.00,279634.00,0.00,299709.00,299692.00,33.00,5408,2758464,4060132
2025-12-31T15:55:44Z,eth0,38855631.00,282078.00,38906644.00,282384.00,69604.00,366580.00,277460.00,0.00,285161.00,285220.00,14.00,5408,3357520,4663956
2025-12-31T15:55:45Z,eth0,39406037.00,286176.00,39354698.00,286031.00,60266.00,364948.00,274674.00,0.00,286354.00,286252.00,7.00,5536,3695056,5007656
2025-12-31T15:55:46Z,eth0,41232500.00,299448.00,41226727.00,299433.00,63800.00,364698.00,277563.00,0.00,293364.00,293206.00,15.00,5664,3697552,5009448
2025-12-31T15:55:47Z,eth0,40469426.00,293629.00,40382194.00,293406.00,60411.00,361839.00,280604.00,0.00,297259.00,297192.00,12.00,5792,3698896,5012008
2025-12-31T15:55:49Z,eth0,19752838.50,143342.50,19747506.50,143433.50,31661.50,176563.00,134223.50,0.00,142883.50,142991.00,5.50,5920,3701776,5013480
2025-12-31T15:55:50Z,eth0,39007471.00,283097.00,38926399.00,282929.00,63831.00,353685.00,273800.00,0.00,283764.00,284550.00,2.00,6048,3704080,5015656
2025-12-31T15:55:51Z,eth0,38136151.00,276627.00,38673351.00,284543.00,56820.00,373520.00,271266.00,7.00,274972.00,282060.00,2.00,6114,4147600,5420480
2025-12-31T15:55:52Z,eth0,40371902.00,293053.00,40502977.00,295000.00,58804.00,362993.00,280744.00,0.00,296103.00,297654.00,6.00,6176,4148368,5422336
2025-12-31T15:55:53Z,eth0,38456018.00,278827.00,38581898.00,281967.00,60672.00,348611.00,265915.00,0.00,273700.00,277237.00,2.00,6304,4149328,5424128
2025-12-31T15:55:54Z,eth0,38629823.00,280177.00,38915497.00,284893.00,64065.00,356583.00,274299.00,0.00,283545.00,287874.00,6.00,6432,4151440,5426304
2025-12-31T15:55:55Z,eth0,39832293.00,289003.00,40131764.00,294196.00,55801.00,357872.00,273778.00,0.00,286472.00,292049.00,2.00,6560,4152976,5428160
2025-12-31T15:55:56Z,eth0,39215904.00,284597.00,39623864.00,291485.00,59782.00,357009.00,273057.00,0.00,283756.00,290648.00,2.00,6688,4222480,5496836
2025-12-31T15:55:57Z,eth0,36591673.00,265458.00,38049879.00,287985.00,72190.00,374154.00,273908.00,8.00,266595.00,288983.00,1.00,6816,4398544,5697808
2025-12-31T15:55:58Z,eth0,37604789.00,272678.00,38805273.00,290568.00,62149.00,358760.00,270965.00,0.00,273011.00,290668.00,2.00,6864,4403344,5697808
2025-12-31T15:56:00Z,eth0,19772683.50,143406.00,20330319.50,151969.00,30618.50,186089.00,141022.00,0.00,144330.50,152782.50,2.00,6944,4404688,5697808
2025-12-31T15:56:01Z,eth0,39214320.00,284495.00,40352192.00,303089.00,63807.00,366681.00,276849.00,0.00,281175.00,300351.00,1.00,7072,4405456,5698128
2025-12-31T15:56:02Z,eth0,38164501.00,276686.00,39897452.00,303600.00,68301.00,367405.00,274664.00,0.00,276686.00,303599.00,1.00,7200,4406800,5700176
2025-12-31T15:56:03Z,eth0,37804271.00,274329.00,39636439.00,302513.00,68595.00,370872.00,277839.00,0.00,277858.00,306696.00,1.00,7328,4545808,5841080
2025-12-31T15:56:04Z,eth0,37436802.00,271516.00,40521232.00,318385.00,56654.00,389887.00,279790.00,7.00,274564.00,321196.00,1.00,7456,4721300,6038552
2025-12-31T15:56:05Z,eth0,40149761.00,291192.00,42750648.00,331461.00,54431.00,386926.00,284035.00,0.00,286382.00,326210.00,3.00,7584,4722452,6038552
2025-12-31T15:56:06Z,eth0,38760629.00,281269.00,41916553.00,329442.00,58211.00,380073.00,279987.00,1.00,279504.00,328053.00,3.00,7712,4723412,6038552
2025-12-31T15:56:07Z,eth0,37718799.00,273532.00,41781863.00,334397.00,57103.00,380396.00,278971.00,13.00,274385.00,334224.00,2.00,7712,4723412,6038552
2025-12-31T15:56:08Z,eth0,39557507.00,286833.00,42715655.00,336209.00,53272.00,381461.00,281908.00,0.00,290951.00,342605.00,4.00,7840,4723412,6038616
2025-12-31T15:56:09Z,eth0,37719714.00,273667.00,42440076.00,345996.00,64209.00,401296.00,283783.00,6.00,273545.00,344895.00,1.00,7968,4728020,6040984
2025-12-31T15:56:11Z,eth0,17872386.50,129634.00,20571416.50,170496.50,27994.00,194341.00,136879.50,6.50,129554.50,171808.50,0.00,7969,5120660,6444272
2025-12-31T15:56:12Z,eth0,37863105.00,274598.00,42673752.00,347049.00,63244.00,395039.00,284554.00,5.00,274740.00,344885.00,3.00,7970,5122772,6444272
2025-12-31T15:56:13Z,eth0,39569659.00,286883.00,43985261.00,354066.00,58582.00,394905.00,284014.00,6.00,284348.00,351024.00,2.00,7971,5122772,6444272
2025-12-31T15:56:14Z,eth0,38283673.00,277743.00,43392651.00,355149.00,57864.00,392920.00,282784.00,16.00,275443.00,352265.00,1.00,7972,5122964,6444272
2025-12-31T15:56:15Z,eth0,38484952.00,279144.00,43325406.00,352288.00,58632.00,393937.00,285563.00,12.00,281728.00,355503.00,2.00,7972,5122964,6444272
2025-12-31T15:56:16Z,eth0,39012875.00,282907.00,43730771.00,354444.00,63033.00,394854.00,282945.00,19.00,280321.00,351330.00,1.00,7973,5123156,6445168
2025-12-31T15:56:17Z,eth0,37747868.00,273879.00,43271459.00,357002.00,64314.00,411907.00,282081.00,15.00,276218.00,359577.00,0.00,7974,5129876,6447152
2025-12-31T15:56:18Z,eth0,35507934.00,257378.00,41091741.00,342371.00,58999.00,390968.00,271224.00,13.00,255384.00,340976.00,1.00,7975,5418260,6716992
2025-12-31T15:56:19Z,eth0,38096202.00,276325.00,43260941.00,354598.00,55827.00,386756.00,277935.00,18.00,275980.00,353645.00,3.00,7976,5420372,6716992
2025-12-31T15:56:21Z,eth0,18390863.00,133423.00,21436681.50,179112.50,35053.00,201007.00,142968.00,19.50,134917.50,180555.00,0.00,7977,5420372,6716992
2025-12-31T15:56:22Z,eth0,37248134.00,269917.00,42144117.00,344613.00,60846.00,380540.00,274269.00,7.00,271618.00,346526.00,1.00,7978,5420372,6716992
2025-12-31T15:56:23Z,eth0,37610800.00,272912.00,42721862.00,349542.00,59489.00,384235.00,275054.00,18.00,270161.00,346256.00,0.00,7978,5420564,6716992
2025-12-31T15:56:24Z,eth0,35864292.00,260101.00,41896152.00,351940.00,68826.00,389131.00,277075.00,30.00,261759.00,353876.00,2.00,7979,5420564,6716992
2025-12-31T15:56:25Z,eth0,37908076.00,274857.00,42567518.00,345934.00,57088.00,378178.00,271991.00,5.00,273901.00,345487.00,2.00,7980,5421716,6718720
2025-12-31T15:56:26Z,eth0,36670806.00,266090.00,43095752.00,363437.00,62090.00,388540.00,274329.00,34.00,267865.00,364820.00,1.00,7981,5485268,6788484
