time_utc,iface,rx_bytes_per_s,rx_packets_per_s,tx_bytes_per_s,tx_packets_per_s,ctxt_per_s,intr_per_s,softirq_net_rx_per_s,softirq_net_tx_per_s,tcp_insegs_per_s,tcp_outsegs_per_s,tcp_retranssegs_per_s,tcp_estab,proc_rss_kb,proc_vsz_kb
2025-12-31T15:36:29Z,eth0,4942191.00,24658.00,4542911.00,18562.00,38847.00,52457.00,23376.00,0.00,25071.00,18750.00,0.00,4256,67392,1437672
2025-12-31T15:36:30Z,eth0,7781758.00,38959.00,7124705.00,29117.00,49071.00,68946.00,35000.00,1.00,39313.00,29674.00,0.00,4384,67584,1437736
2025-12-31T15:36:31Z,eth0,10572357.00,52439.00,9719736.00,39519.00,52905.00,79901.00,44446.00,0.00,51807.00,38855.00,8.00,4512,67584,1437736
2025-12-31T15:36:32Z,eth0,13917372.00,68610.00,12780708.00,51314.00,69054.00,102444.00,57703.00,0.00,68610.00,51338.00,0.00,4512,67584,1437800
2025-12-31T15:36:33Z,eth0,16864833.00,83406.00,15496692.00,62790.00,79591.00,119466.00,69984.00,0.00,83602.00,62936.00,0.00,4640,67968,1438376
2025-12-31T15:36:34Z,eth0,19693510.00,97600.00,18074852.00,73094.00,87451.00,130742.00,78453.00,0.00,97403.00,72947.00,0.00,4768,71616,1438440
2025-12-31T15:36:36Z,eth0,11237030.00,55529.00,10335267.00,41871.50,47202.00,72235.00,44430.00,0.00,55950.50,42074.50,0.00,4896,76032,1438760
2025-12-31T15:36:37Z,eth0,25259026.00,124757.00,23179625.00,93274.00,101997.00,156533.00,97092.00,0.00,124470.00,93423.00,1.00,5024,83136,1438824
2025-12-31T15:36:38Z,eth0,28081031.00,138684.00,25816251.00,104483.00,105100.00,167161.00,103685.00,0.00,139049.00,104363.00,0.00,5152,89088,1438984
2025-12-31T15:36:39Z,eth0,31400922.00,154997.00,28837960.00,116064.00,117109.00,185212.00,118506.00,1.00,155912.00,117411.00,1.00,5152,95808,1439112
2025-12-31T15:36:40Z,eth0,34787322.00,171707.00,31956266.00,128837.00,129431.00,199762.00,127948.00,0.00,170231.00,127312.00,0.00,5280,104640,1439240
2025-12-31T15:36:41Z,eth0,37259179.00,183968.00,34251372.00,138508.00,136466.00,214477.00,140388.00,0.00,185584.00,139249.00,0.00,5408,114240,1439416
2025-12-31T15:36:42Z,eth0,40236395.00,198656.00,36938277.00,148723.00,144691.00,228637.00,150193.00,0.00,198557.00,149548.00,0.00,5536,125568,1505084
2025-12-31T15:36:43Z,eth0,43614931.00,215194.00,40076553.00,161624.00,157861.00,247862.00,164877.00,0.00,214923.00,161385.00,0.00,5664,136896,1505276
2025-12-31T15:36:44Z,eth0,46047709.00,227142.00,42289167.00,170205.00,162345.00,257271.00,173614.00,0.00,227165.00,170139.00,0.00,5792,149376,1505404
2025-12-31T15:36:45Z,eth0,49098147.00,241899.00,45137167.00,181942.00,167940.00,271339.00,183835.00,0.00,242077.00,181444.00,0.00,5792,163584,1505596
2025-12-31T15:36:46Z,eth0,52783095.00,260333.00,48506432.00,195512.00,176603.00,286733.00,195684.00,0.00,260378.00,195400.00,0.00,5920,177216,1505860
2025-12-31T15:36:47Z,eth0,55807191.00,275204.00,51275333.00,206551.00,171255.00,293828.00,201878.00,0.00,275340.00,206967.00,4.00,6048,191424,1571848
2025-12-31T15:36:49Z,eth0,29339793.00,144674.00,26953731.50,108578.00,91246.50,154226.50,106841.00,0.00,144896.00,108768.50,0.00,6176,207360,1572104
2025-12-31T15:36:50Z,eth0,61996198.00,305629.00,56958902.00,229332.00,192955.00,324739.00,227759.00,0.00,305299.00,229599.00,0.00,6304,223296,1572232
2025-12-31T15:36:51Z,eth0,64071522.00,315966.00,58879125.00,237323.00,198069.00,331159.00,234157.00,0.00,317481.00,238263.00,0.00,6432,240576,1572744
2025-12-31T15:36:52Z,eth0,68014508.00,335366.00,62498199.00,251830.00,206663.00,346566.00,244061.00,0.00,333941.00,251180.00,0.00,6560,258432,1639160
2025-12-31T15:36:53Z,eth0,70853853.00,349024.00,65131851.00,262327.00,210052.00,356005.00,254506.00,0.00,350008.00,262652.00,0.00,6560,276864,1639672
2025-12-31T15:36:54Z,eth0,73632641.00,363040.00,67643774.00,272324.00,215470.00,365661.00,261458.00,0.00,362087.00,271899.00,1.00,6688,296640,1640952
2025-12-31T15:36:55Z,eth0,76722354.00,378260.00,70495085.00,283950.00,219850.00,380878.00,275182.00,0.00,378747.00,284268.00,0.00,6816,316224,1641208
2025-12-31T15:36:56Z,eth0,79516888.00,392019.00,73054697.00,294224.00,222180.00,391353.00,284453.00,0.00,393762.00,295527.00,0.00,6944,338304,1707324
2025-12-31T15:36:57Z,eth0,83857487.00,413399.00,77083823.00,310807.00,233959.00,407805.00,296076.00,0.00,411767.00,308609.00,0.00,7072,359616,1708512
2025-12-31T15:36:58Z,eth0,86189554.00,424875.00,79174943.00,318635.00,237900.00,415761.00,304259.00,0.00,425821.00,319831.00,0.00,7200,381888,1709280
2025-12-31T15:36:59Z,eth0,88172541.00,434712.00,81024553.00,326370.00,243113.00,421694.00,308715.00,0.00,434904.00,326529.00,0.00,7328,405696,1776484
